Restaurant,Cuisines,Ratings,Votes,Cost For Two
McDonald's,"Burger, Fast Food",3.9,347,400
Natural Ice Cream,"Ice Cream, Desserts",4.0,93,300
Jumboking,"Burger, Fast Food",4.2,45,150
Jai Mata Di Fast Food,"Chinese, Fast Food",3.4,16,200
Ming Yang,"Chinese, Thai",3.8,126,950
Domino's Pizza,"Pizza, Fast Food",3.8,108,400
Amar Fast Food & Restaurant,"Street Food, Chinese, North Indian, Biryani, Fast Food",3.7,346,600
Box Office Cafe Bar and Bistro,"North Indian, Chinese, Continental, Fast Food",3.1,4,700
Hunger Ground,"North Indian, Chinese",3.7,57,350
Diet With Delight,"Chinese, Fast Food, Street Food, Healthy Food, Desserts, Beverages",3.8,101,350
Foodies Family,"North Indian, Maharashtrian",3.6,51,500
Hotel Ballaleshwar,"Maharashtrian, Street Food",3.1,0,200
Hardasmal,"North Indian, South Indian",3.6,137,450
Roti N,"Fast Food, Chinese, North Indian",3.6,393,600
The Belgian Waffle Co.,"Desserts, Beverages",3.8,163,300
Jimmy Food Corner,"Chinese, Italian",3.5,33,400
Ramesh Sweets And Cakes,"Mithai, Bakery",3.1,9,200
Ribbons & Balloons,"Bakery, Desserts, Fast Food",3.3,21,250
Shiv Sagar,"South Indian, North Indian, Chinese, Fast Food, Street Food",3.1,206,750
Cafe Coffee Day,"Cafe, Fast Food, Desserts, Beverages, Sandwich",3.7,14,600
Delicia Fine Dine,"North Indian, Chinese, Fast Food",3.7,103,650
Bismillah Juice,"Juices, Beverages",3.6,63,400
Amritsari Naan,North Indian,3.5,71,300
Aao Kabhi Haveli Pe,"Cafe, Fast Food, Coffee",3.1,32,500
Datta Prasad Vada Pav Centre,Street Food,3.6,25,150
Hungry Panda,"North Indian, Chinese",3.6,46,300
Hotel Super Bowl,Chinese,3.1,11,300
Kulfi Village,"Ice Cream, Beverages, Fast Food",0.0,0,500
K-Rachna,"North Indian, Chinese, Fast Food",3.6,91,850
Cafe Creme,"Desserts, Beverages, Fast Food",3.3,7,450
Cousins Nook,"Chinese, Fast Food",3.1,17,450
SK Chinese Food Point,Chinese,0.0,0,300
Hotel Samudra,"Chinese, North Indian",3.3,27,350
Kitchen King,"North Indian, Chinese",0.0,0,400
Vicky Momo's Hut,Momos,3.4,56,200
Memsaab Restaurant & Bar,"North Indian, Chinese, Bar Food",2.9,12,600
Jai Shankar Nx Snacks & Food Corner,"South Indian, Chinese, Fast Food, North Indian",3.2,11,200
Jayam Dosa Corner,South Indian,3.4,50,350
Chahapaani,"Maharashtrian, Fast Food, Beverages",0.0,0,200
The Bombay Fries,"Fast Food, Beverages",3.7,67,300
Sharma Sandwich & Pizza Corner,"Sandwich, Pizza",3.4,18,200
Sseven Eleven Fine Dine,"North Indian, Chinese, Continental",3.3,13,700
Guru Fast Food,"Fast Food, North Indian",0.0,0,250
Hotel Metro Bar & Restaurant,North Indian,3.3,17,500
Hotel AFK Grill N Chill,"Chinese, Kebab",2.9,5,350
Bombay Pani Puri Wala,Street Food,3.2,8,150
Krunk,"North Indian, Chinese, Continental, Fast Food",3.9,191,1000
Pariwar Lunch Home Ujwal Mahila Grihudyog,"Chinese, Maharashtrian, North Indian",3.0,4,300
The Fuel,"Lebanese, Beverages",0.0,0,250
Baba Snacks Corner,"Fast Food, Rolls",3.7,42,250
Kachhomal Sweets,Mithai,3.6,57,200
Royal Fine Dine,"North Indian, Chinese, South Indian, Fast Food, Desserts",3.2,76,400
Baskin Robbins,"Ice Cream, Desserts, Beverages",3.7,61,200
Rude Lounge,"North Indian, Italian, Chinese, Continental, Bar Food",3.5,129,1600
Royal Cakes,"Bakery, Desserts",0.0,0,400
Diamond Hotel,"North Indian, Chinese, South Indian",0.0,0,500
Maitri Katta,"Maharashtrian, North Indian",2.9,6,300
Vaishnu Hotel,"North Indian, Mughlai, Chinese",3.4,40,500
Sindhudurg Kinara Family Restaurant & Bar,"North Indian, Chinese, Malwani, Biryani, Fast Food, Thai, Continental",3.5,323,600
Hotel Palace Family Restaurant and Bar,"North Indian, Chinese",3.7,69,1000
Hotel Shanti Sagar,"North Indian, Chinese, Street Food",3.4,105,600
China Town Chinese Corner,Chinese,0.0,0,200
Backbenchers Cafe,"Fast Food, Beverages",2.9,12,300
Dragon Shawarma,Lebanese,3.0,6,300
Batman Night Kitchen,"Pizza, Fast Food, Chinese",3.6,89,350
Street Klub,Fast Food,3.2,97,350
Brewville Cafe,Cafe,3.7,158,900
Taste of Punjab,North Indian,3.0,4,1500
Hardasmal Restaurant,North Indian,3.4,38,350
Kumar Mutton House,North Indian,3.2,13,500
Burger Club,"Fast Food, Burger, Indian, Chinese",3.4,60,250
Guru Da Dhaba,"North Indian, Chinese, Malwani, Hyderabadi, Kebab",0.0,0,800
Kailash Parbat,"North Indian, South Indian, Chinese, Italian, Street Food, Beverages",3.3,12,1000
O-Cakes,"Bakery, Desserts",3.4,24,250
Highness,"Fast Food, Desserts, Ice Cream",3.2,35,450
Jai Shanker Ice Cream & Snacks,"Chinese, North Indian, Biryani, Fast Food, Ice Cream",3.6,15,200
A1 Pani Puri House,Street Food,3.6,28,100
Sips Bites,Fast Food,3.2,12,300
Poo Lounge - The Club,"Continental, North Indian, Chinese",3.3,52,1500
Hotel Abhishek,"North Indian, Chinese, Maharashtrian",0.0,0,600
Morya Veg & Non-Veg Restaurant,Chinese,3.2,15,200
Hari Om Juice Center,"Juices, Beverages",3.2,4,300
Jai Ambika Pan Bhandar,"Paan, Beverages",3.2,10,50
Annapurna Classic Restaurant,"Fast Food, South Indian, Chinese, North Indian",0.0,0,700
Asha Ice Cream And Falooda,Ice Cream,3.2,9,250
Shree Ganesh Chinese Corner,Chinese,0.0,0,200
Goli Vada Pav No.1,Street Food,2.6,22,150
Brownie Point,"Bakery, Desserts",3.5,33,400
Sai Family Restaurant & Bar,"Chinese, North Indian",3.0,4,600
Exotic Flavours,"Continental, North Indian, Italian, Asian",0.0,0,500
Sai Fast Food & Family Restaurant,"Continental, Chinese, North Indian, South Indian",3.1,13,300
Relish,"Fast Food, Chinese, North Indian",3.7,241,700
Brestro Inn,"Fast Food, Desserts",3.0,5,600
Swanand Veg,Street Food,2.9,5,300
Swami Sandwich,Fast Food,0.0,0,250
Creambell,"Desserts, Ice Cream",0.0,0,200
The Brooklyn Creamery,Ice Cream,0.0,0,150
Elixir Bistro Cafe,"Healthy Food, Fast Food",0.0,0,100
Be Hungry,Maharashtrian,0.0,0,300
Apsara Ice Creams,"Ice Cream, Desserts",3.6,19,200
Krishna Glory Restaurant And Ice Cream Corner,"Chinese, North Indian",0.0,0,300
Black Town Chinese And Fast Food,"Chinese, North Indian",2.9,7,300
Monginis,"Bakery, Fast Food",2.7,18,300
Shere Punjab,"North Indian, Chinese",3.1,5,400
Garib Nawaz Hotel And Caterers,North Indian,0.0,0,200
Celebrations Hotel,"North Indian, Chinese",3.4,24,700
